user,knob,windows,span_days,changes,changes_per_6mo,median_abs_delta,path,net,path_over_net,material,after_deadband,after_deadband_per_6mo,window,step,lag_days
tim,confirmedCap,22,161,4,4.534161490683229,0.1449999999999999,0.5799999999999996,0.0,,1,0,0.0,14,7,10.5
tim,committedCap,22,161,18,20.403726708074533,0.04000000000000001,1.23,0.29,4.241379310344827,9,6,6.801242236024845,14,7,10.5
tim,cumulative60,22,161,14,15.869565217391305,0.10000000000000009,2.7999999999999985,0.6000000000000001,4.666666666666663,8,1,1.1335403726708073,14,7,10.5
tim,primerCap,22,161,17,19.27018633540373,0.020000000000000004,0.5800000000000001,0.15999999999999998,3.625000000000001,6,3,3.4006211180124226,14,7,10.5
A,aggression,21,154,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,7,10.5
A,hypoCaution,21,154,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,7,10.5
A,confirmedCap,21,154,5,5.925324675324675,2.5,14.9,0.0,,4,4,4.740259740259741,14,7,10.5
A,committedCap,21,154,18,21.33116883116883,0.03500000000000003,1.0799999999999994,0.05999999999999983,18.00000000000004,4,7,8.295454545454545,14,7,10.5
A,cumulative60,21,154,13,15.405844155844155,0.20000000000000107,16.800000000000008,0.20000000000000107,83.99999999999959,5,4,4.740259740259741,14,7,10.5
A,primerCap,21,154,16,18.961038961038962,0.05499999999999994,0.9600000000000002,0.020000000000000018,47.999999999999964,9,8,9.480519480519481,14,7,10.5
B,aggression,18,133,8,10.977443609022556,0.07999999999999996,0.84,0.07999999999999996,10.500000000000005,7,8,10.977443609022556,14,7,10.5
B,hypoCaution,18,133,11,15.093984962406013,0.20000000000000018,3.2,0.19999999999999996,16.000000000000004,3,9,12.349624060150376,14,7,10.5
B,confirmedCap,18,133,15,20.58270676691729,0.4500000000000002,10.86,0.0,,6,7,9.605263157894736,14,7,10.5
B,committedCap,18,133,16,21.954887218045112,0.07000000000000006,1.2000000000000002,0.0,,7,9,12.349624060150376,14,7,10.5
B,cumulative60,18,133,16,21.954887218045112,0.3999999999999999,11.0,0.0,,5,6,8.233082706766917,14,7,10.5
B,primerCap,18,133,14,19.210526315789473,0.034999999999999976,1.14,0.0,,5,5,6.860902255639098,14,7,10.5
C,aggression,12,91,5,10.027472527472527,0.07999999999999996,0.3899999999999999,0.07000000000000006,5.571428571428565,5,5,10.027472527472527,14,7,10.5
C,hypoCaution,12,91,8,16.043956043956044,0.25,2.1,0.09999999999999987,21.00000000000003,2,5,10.027472527472527,14,7,10.5
C,confirmedCap,12,91,11,22.060439560439562,0.79,14.7,3.02,4.8675496688741715,5,8,16.043956043956044,14,7,10.5
C,committedCap,12,91,10,20.054945054945055,0.07000000000000006,0.7100000000000004,0.030000000000000027,23.66666666666666,3,7,14.03846153846154,14,7,10.5
C,cumulative60,12,91,11,22.060439560439562,0.8999999999999999,14.9,2.9,5.137931034482759,5,6,12.032967032967033,14,7,10.5
C,primerCap,12,91,10,20.054945054945055,0.02999999999999997,0.3999999999999998,0.12000000000000002,3.333333333333331,1,1,2.0054945054945055,14,7,10.5
D,aggression,7,133,1,1.3721804511278195,0.07000000000000006,0.07000000000000006,0.07000000000000006,1.0,0,1,1.3721804511278195,14,7,10.5
D,hypoCaution,7,133,3,4.116541353383458,0.30000000000000004,0.8,0.8,1.0,0,3,4.116541353383458,14,7,10.5
D,confirmedCap,7,133,1,1.3721804511278195,0.5,0.5,0.5,1.0,1,1,1.3721804511278195,14,7,10.5
D,committedCap,7,133,6,8.233082706766917,0.05500000000000005,0.6199999999999999,0.24,2.583333333333333,2,3,4.116541353383458,14,7,10.5
D,cumulative60,7,133,3,4.116541353383458,0.20000000000000018,0.5999999999999996,0.0,,0,0,0.0,14,7,10.5
D,primerCap,7,133,6,8.233082706766917,0.024999999999999994,0.35,0.25,1.4,3,2,2.744360902255639,14,7,10.5
E,aggression,21,154,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,7,10.5
E,hypoCaution,21,154,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,7,10.5
E,confirmedCap,21,154,20,23.7012987012987,0.11500000000000021,8.82,0.54,16.333333333333332,5,2,2.3701298701298703,14,7,10.5
E,committedCap,21,154,18,21.33116883116883,0.030000000000000027,0.6200000000000001,0.19999999999999996,3.1000000000000014,5,3,3.5551948051948052,14,7,10.5
E,cumulative60,21,154,18,21.33116883116883,0.1999999999999993,9.300000000000002,0.9000000000000004,10.333333333333332,5,2,2.3701298701298703,14,7,10.5
E,primerCap,21,154,15,17.775974025974026,0.020000000000000018,0.5,0.09999999999999998,5.000000000000001,5,3,3.5551948051948052,14,7,10.5
F,aggression,21,154,6,7.1103896103896105,0.07999999999999996,0.47999999999999976,0.0,,6,6,7.1103896103896105,14,7,10.5
F,hypoCaution,21,154,6,7.1103896103896105,0.19999999999999996,1.4,0.0,,3,4,4.740259740259741,14,7,10.5
F,confirmedCap,21,154,13,15.405844155844155,0.3999999999999999,7.670000000000001,1.4299999999999997,5.363636363636365,10,6,7.1103896103896105,14,7,10.5
F,committedCap,21,154,17,20.146103896103895,0.050000000000000044,0.9900000000000002,0.030000000000000027,32.99999999999998,8,6,7.1103896103896105,14,7,10.5
F,cumulative60,21,154,17,20.146103896103895,0.2999999999999998,9.299999999999999,1.5,6.199999999999999,10,6,7.1103896103896105,14,7,10.5
F,primerCap,21,154,16,18.961038961038962,0.05000000000000002,0.77,0.10999999999999999,7.000000000000001,7,8,9.480519480519481,14,7,10.5
H,aggression,6,56,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,7,10.5
H,hypoCaution,6,56,0,0.0,0.0,0.0,0.0,,0,0,0.0,14,7,10.5
H,confirmedCap,6,56,2,6.517857142857142,0.7000000000000002,1.4000000000000004,1.4000000000000004,1.0,1,1,3.258928571428571,14,7,10.5
H,committedCap,6,56,5,16.294642857142858,0.010000000000000009,0.44000000000000006,0.4,1.1,2,2,6.517857142857142,14,7,10.5
H,cumulative60,6,56,3,9.776785714285714,0.40000000000000036,2.2,2.2,1.0,1,1,3.258928571428571,14,7,10.5
H,primerCap,6,56,5,16.294642857142858,0.09999999999999998,0.4599999999999999,0.25999999999999995,1.7692307692307692,4,5,16.294642857142858,14,7,10.5
tim,aggression,22,168,9,9.776785714285714,0.07999999999999996,0.7500000000000001,0.15000000000000002,5.0,7,9,9.776785714285714,21,7,14.0
tim,hypoCaution,22,168,13,14.12202380952381,0.30000000000000004,4.999999999999999,1.0,4.999999999999999,4,12,13.035714285714285,21,7,14.0
tim,confirmedCap,22,168,4,4.345238095238095,0.42000000000000004,1.6400000000000001,0.43999999999999995,3.727272727272728,1,2,2.1726190476190474,21,7,14.0
tim,committedCap,22,168,17,18.467261904761905,0.030000000000000027,1.01,0.26999999999999996,3.7407407407407414,5,2,2.1726190476190474,21,7,14.0
tim,cumulative60,22,168,14,15.208333333333332,0.10000000000000009,3.099999999999999,0.8999999999999999,3.4444444444444438,2,3,3.258928571428571,21,7,14.0
tim,primerCap,22,168,15,16.294642857142858,0.020000000000000018,0.5599999999999999,0.15999999999999998,3.5,5,4,4.345238095238095,21,7,14.0
